Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,cleansing_tweets
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok bego
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,siapa yang telat memberi tau kamu edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,ya bani taplak dan kawan kawan
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,gue baru saja selesai re watch aldnoah zero paling kampret memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. Ã°??Â­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) Ã°???",0,0,0,0,0,0,0,0,0,0,0,0,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang
USER Enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,enak lagi kalau sambil ngewe
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama bacot kamu
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,banci kaleng malu tidak bisa jawab peanyaan kami dari hari lalu nyungsep koe uniform resource locator
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huru hara 98 prabowo ingin lengserkan pemerintahan jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,bu guru enakan jadi jablay atau guru sekolah dasar sih kayaknya menikmati jadi pecun ini guru
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing onta gue mengakui hadis nabi dan itu sahih kafir kayak kamu pasti menolak makanya kamu ahlun nar
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok pikiran ampas banget ya
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,ari sama beki adalah rapi monyet
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,alga mnr bom
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,anjing ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,kalau kamu noob pasti peluang disakiti nya lebih gede sih
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÃÂ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,siapapun gubernur dan presidennya rakyatnya ya kita juga
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,ini sih kerjaannya delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,islam nusantara produk jil dipasarkan dengan gencar oleh antek jil sementara jil anti arab tapi pro asing kata almarhum kh hasyim muzadi
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,dari habis sahur sampai jam 10 si bayi sudah nete empat kali sekarang rasanya lemas tak terkira
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,tidak kak emak adalah tidak suka sama yang sipit wkwk
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,kelakuan homo jaman now ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator
